1,"21432","sp2021"
2,"20633","sp2021"
2,"32226","sp2021"
2,"32227","sp2021"
2,"20242","sp2021"
2,"20050","sp2021"
2,"20972","sp2021"
3,"29079","sp2021"
3,"29080","sp2021"
3,"22372","sp2021"
3,"23356","sp2021"
3,"27846","sp2021"
4,"25092","sp2021"
4,"31245","sp2021"
5,"20954","sp2021"
6,"31247","sp2021"
6,"32907","sp2021"
7,"29068","sp2021"
7,"29469","sp2021"
8,"25050","sp2021"
8,"25049","sp2021"
9,"20154","sp2021"
10,"29071","sp2021"
11,"32506","sp2021"
11,"32507","sp2021"
12,"32855","sp2021"
12,"22193","sp2021"
13,"24528","sp2021"
13,"24529","sp2021"
14,"32858","sp2021"
14,"26068","sp2021"
15,"31244","sp2021"
16,"24527","sp2021"
17,"25095","sp2021"
17,"25096","sp2021"
17,"25097","sp2021"
17,"25094","sp2021"
17,"32228","sp2021"
17,"33555","sp2021"
17,"29069","sp2021"
17,"26067","sp2021"
18,"21085","sp2021"
19,"20173","sp2021"
20,"32502","sp2021"
21,"25190","sp2021"
21,"25192","sp2021"
21,"29070","sp2021"
22,"31252","sp2021"
23,"22134","sp2021"
23,"23065","sp2021"
3,"22134","sp2021"
3,"23065","sp2021"
24,"20169","sp2021"
25,"31248","sp2021"
26,"31246","sp2021"
26,"33233","sp2021"
27,"24558","sp2021"
28,"31249","sp2021"
28,"24426","sp2021"
29,"33282","sp2021"
30,"31250","sp2021"
31,"23331","sp2021"
32,"27114","sp2021"
33,"28947","sp2021"
1,"13653","fa2021"
1,"13654","fa2021"
3,"14466","fa2021"
3,"14467","fa2021"
3,"14468","fa2021"
3,"14465","fa2021"
4,"14753","fa2021"
4,"15448","fa2021"
4,"14928","fa2021"
34,"15339","fa2021"
34,"18352","fa2021"
5,"10873","fa2021"
5,"15056","fa2021"
6,"21096","fa2021"
7,"14754","fa2021"
7,"14845","fa2021"
8,"21219","fa2021"
8,"21098","fa2021"
8,"18467","fa2021"
9,"10052","fa2021"
9,"17915","fa2021"
9,"17984","fa2021"
10,"13652","fa2021"
10,"13713","fa2021"
11,"14844","fa2021"
11,"14843","fa2021"
11,"14751","fa2021"
35,"16920","fa2021"
36,"20816","fa2021"
36,"18681","fa2021"
36,"20819","fa2021"
12,"14752","fa2021"
14,"16332","fa2021"
15,"18025","fa2021"
37,"16346","fa2021"
37,"16449","fa2021"
16,"10164","fa2021"
17,"17739","fa2021"
17,"17740","fa2021"
17,"14104","fa2021"
17,"13210","fa2021"
17,"16919","fa2021"
18,"10677","fa2021"
18,"10676","fa2021"
18,"15447","fa2021"
38,"12947","fa2021"
39,"14338","fa2021"
21,"14921","fa2021"
22,"14337","fa2021"
24,"13303","fa2021"
24,"11324","fa2021"
,"20817","fa2021"
26,"21215","fa2021"
26,"21308","fa2021"
27,"13839","fa2021"
28,"20818","fa2021"
28,"20820","fa2021"
30,"21216","fa2021"
30,"18054","fa2021"
32,"18117","fa2021"
